va	tipo	tamanho	texto	suspeita_patch	referenciada_por	handler	copia_de
0x004249e6	c	7	barrhab		0x004075e7		
0x004249ee	c	8	valorhab		0x0040764a		
0x004249f7	c	6	imghab		0x004076dd		
0x004249fe	c	10	flechasapa		0x004077b9		
0x00424a09	c	8	valorapa		0x0040781c		
0x00424a12	c	3	\x20--		0x004079b4		
0x00424a16	c	8	valorhab		0x00407ae1	jugador.barrhabScroll	0x004249ee
0x00424a1f	c	6	imghab		0x00407b52	jugador.barrhabScroll	0x004249f7
0x00424a26	c	8	valorhab		0x00407c0d	jugador.barrhab_bisScroll	0x004249ee
0x00424a2f	c	6	imghab		0x00407c7e	jugador.barrhab_bisScroll	0x004249f7
0x00424a36	c	8	valorhab		0x00407d3e	jugador.FormCreate	0x004249ee
0x00424a3f	c	7	etiqhab		0x00407d9f	jugador.FormCreate	
0x00424a47	c	7	etiqapa		0x00407e09	jugador.FormCreate	
0x00424a4f	c	8	valorapa		0x00407e6a	jugador.FormCreate	0x00424a09
0x00424a58	c	8	valorhab		0x00407ed0	jugador.FormCreate	0x004249ee
0x00424a61	c	7	etiqhab		0x00407f31	jugador.FormCreate	0x00424a3f
0x00424a69	c	7	etiqapa		0x00407f9b	jugador.FormCreate	0x00424a47
0x00424a71	c	8	valorapa		0x00407ffc	jugador.FormCreate	0x00424a09
0x00424a7a	c	1	7		0x004080fc	jugador.flechasapaClick	
0x00424a7c	c	1	9		0x0040817a	jugador.flechasapaClick	
0x00424a7e	c	1	3		0x004081f5	jugador.flechasapaClick	
0x00424a80	c	8	valorapa		0x0040825f	jugador.flechasapaClick	0x00424a09
0x00424a89	c	1	2		0x004082fa	jugador.flechasapaClick	
0x00424a8b	c	1	3		0x00408340	jugador.flechasapaClick	0x00424a7e
0x00424a8d	c	1	4		0x0040835f	jugador.flechasapaClick	
0x00424a8f	c	1	5		0x004083c2	jugador.flechasapaClick	
0x00424a91	c	1	6		0x004083e1	jugador.flechasapaClick	
0x00424a93	c	44	Insert a valid number of credits (1 ... 250)		0x00408620	jugador.BitBtn3Click	
0x00424ac0	c	63	Numero do uniforme invalido ([33 ... 99] somente na Mastere\x20\x20\x20\x20	enchimento+truncada+gemea_difere	0x004086f9	jugador.BitBtn3Click	
0x00424b00	c	7	barrhab		0x00408794	jugador.BitBtn3Click	0x004249e6
0x00424b08	c	10	flechasapa		0x00408836	jugador.BitBtn3Click	0x004249fe
0x00424b13	c	7	barrhab		0x00408bf4	jugador.etiqprecioClick	0x004249e6
0x00424b5e	c	7	etiqjug		0x00408ea0	estrategia.bolaMouseMove	
0x00424b66	c	8	etiqestr		0x004093ae	estrategia.FormCreate	
0x00424b6f	c	7	jugador		0x0040940f	estrategia.FormCreate	
0x00424b77	c	7	etiqpos		0x00409470	estrategia.FormCreate	
0x00424b7f	c	8	etiqestr		0x004094da	estrategia.FormCreate	0x00424b66
0x00424b88	c	7	jugador		0x0040953b	estrategia.FormCreate	0x00424b6f
0x00424b90	c	7	etiqpos		0x0040959c	estrategia.FormCreate	0x00424b77
0x00424b98	c	4	bola		0x004098bf		
0x00424b9d	c	7	etiqpos		0x004099fa		0x00424b77
0x00424ba5	c	4	bola		0x00409c1e	estrategia.relojTimer	0x00424b98
0x00424baa	c	7	etiqjug		0x00409cda	estrategia.relojTimer	0x00424b5e
0x00424bb2	c	4	bola		0x00409dd6	estrategia.relojTimer	0x00424b98
0x00424bb7	c	7	etiqjug		0x00409eb1	estrategia.relojTimer	0x00424b5e
0x00424bbf	c	7	simbolo		0x00409f94	estrategia.malla1MouseDown	
0x00424bc7	c	7	tirador		0x0040a048	estrategia.malla2MouseDown	
0x00424bcf	c	7	etiqjug		0x0040a133		0x00424b5e
0x00424bd7	c	7	jugador		0x0040a1f7		0x00424b6f
0x00424bdf	c	7	etiqjug		0x0040a2bf		0x00424b5e
0x00424be7	c	7	jugador		0x0040a383		0x00424b6f
0x00424bef	c	7	tirador		0x0040a416		0x00424bc7
0x00424bf7	c	54	You should use different Home && Away radar colours...		0x0040a72d	estrategia.BitBtn3Click	
0x00424c2e	c	4	bola		0x0040a889	estrategia.BitBtn3Click	0x00424b98
0x00424c33	c	4	bola		0x0040a944	estrategia.BitBtn3Click	0x00424b98
0x00424c38	c	7	tirador		0x0040a9d2	estrategia.BitBtn3Click	0x00424bc7
0x00424c40	c	7	simbolo		0x0040aaa1	estrategia.BitBtn3Click	0x00424bbf
0x00424c48	c	5	Branc		0x0040ae19	estrategia.ComboBoxDrawItem	
0x00424c4e	c	5	Preto		0x0040ae33	estrategia.ComboBoxDrawItem	
0x00424c54	c	5	Verde		0x0040ae43	estrategia.ComboBoxDrawItem	
0x00424c5a	c	6	Amarel		0x0040ae53	estrategia.ComboBoxDrawItem	
0x00424c61	c	3	Ver		0x0040ae63	estrategia.ComboBoxDrawItem	
0x00424c65	c	4	Azul		0x0040ae73	estrategia.ComboBoxDrawItem	
0x00424c6a	c	4	Turq		0x0040ae83	estrategia.ComboBoxDrawItem	
0x00424c6f	c	4	Rosa		0x0040ae93	estrategia.ComboBoxDrawItem	
0x00424c74	c	6	dorsal		0x0040b0ec		
0x00424c7b	c	6	dorsal		0x0040b226		0x00424c74
0x00424c83	c	1	?		0x0040b3da		
0x00424c85	c	1	.		0x0040b445		0x0042475a
0x00424c87	c	1	\x20		0x0040b4b1		0x00424758
0x00424c89	c	1	\x20		0x0040b710		0x00424758
0x00424c8b	c	2	\x20\x20		0x0040b7d3		
0x00424c8e	c	4	\x20(L)		0x0040b81f		
0x00424c93	c	1	\x20		0x0040bc09		0x00424758
0x00424c95	c	2	\x20\x20		0x0040bccc		0x00424c8b
0x00424c98	c	10	OBOCARULEZ		0x0040bd8d	MainForm.boton_dialogo_weClick	
0x00424ca4	c	8	\\dat.bin		0x0040bea1	MainForm.boton_dialogo_weClick	
0x00424cad	c	2	rb		0x0040be9c	MainForm.boton_dialogo_weClick	
0x00424cb1	c	50	O arquivo dat.bin esta fora do seu diretorio\x20\x20\x20\x20\x20\x20	enchimento	0x0040bf25	MainForm.boton_dialogo_weClick	
0x00424ce4	c	1	\\		0x0040bfc0	MainForm.boton_dialogo_weClick	
0x00424ce6	c	3	r+b		0x0040c015	MainForm.boton_dialogo_weClick	0x004247f8
0x00424ceb	c	27	O arquivo nao e uma MCR!!!\x20		0x0040c385	MainForm.boton_mcrClick	
0x00424d07	c	1	\\		0x0040c3db	MainForm.boton_mcrClick	0x00424ce4
0x00424d09	c	3	r+b		0x0040c423	MainForm.boton_mcrClick	0x004247f8
0x00424d0d	c	18	Voce precisa de\x20\x20\x20	enchimento	0x0040c5af	MainForm.boton_mcr2isoClick	
0x00424d20	c	30	\x20mais blocos livres!!!.\x20\x20\x20\x20\x20\x20\x20	enchimento	0x0040c5bd	MainForm.boton_mcr2isoClick	
0x00424d3f	c	41	MCR inserida no jogo!!!.\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20	enchimento	0x0040c975	MainForm.boton_mcr2isoClick	
0x00424d69	c	5	barra		0x0040ca48	MainForm.track_barraChange	
0x00424d6f	c	32	Barras inseridas no jogo!!!\x20\x20\x20\x20\x20	enchimento	0x0040cb78	MainForm.boton_barras2isoClick	
0x00424d90	c	5	barra		0x0040cfd3	MainForm.lista_equiposChange	0x00424d69
0x00424d96	c	9	sel_barra		0x0040d040	MainForm.lista_equiposChange	
0x00424da0	c	5	barra		0x0040d0d6	MainForm.lista_equiposChange	0x00424d69
0x00424da6	c	9	sel_barra		0x0040d136	MainForm.lista_equiposChange	0x00424d96
0x00424db1	c	20	Insira o nome (1)\x20\x20\x20	enchimento	0x0040d5dc	MainForm.boton_nombres2isoClick	
0x00424dc7	c	20	Insira o nome (2)\x20\x20\x20	enchimento	0x0040d6c2	MainForm.boton_nombres2isoClick	
0x00424ddc	c	30	Insira o nome (3) de 3 letras\x20		0x0040d794	MainForm.boton_nombres2isoClick	
0x00424dfb	c	2	\x20\x20		0x0040d88b	MainForm.boton_nombres2isoClick	0x00424c8b
0x00424dfe	c	1	\x20		0x0040d899	MainForm.boton_nombres2isoClick	0x00424758
0x00424e00	c	1	\x20		0x0040d9bc	MainForm.boton_nombres2isoClick	0x00424758
0x00424e02	c	14	lista_equipos_		0x0040dac5	MainForm.boton_nombres2isoClick	
0x00424e11	c	11	edit_nombre		0x0040dbdf	MainForm.boton_nombres2isoClick	
0x00424e1d	c	1	?		0x0040dc8e	MainForm.boton_nombres2isoClick	0x00424c83
0x00424e1f	c	31	Nomes inseridos no jogo!!!\x20\x20\x20\x20\x20	enchimento	0x0040ddb4	MainForm.boton_nombres2isoClick	
0x00424e3f	c	32	Uniforme inserido no jogo!!!.\x20\x20\x20	enchimento	0x0040df96	MainForm.boton_tex2isoClick	
0x00424e61	c	29	Isto nao e um uniforme!!!.\x20\x20\x20	enchimento	0x0040e0a5	MainForm.boton_dialogo_texClick	
0x00424e7f	c	1	\\		0x0040e10e	MainForm.boton_dialogo_texClick	0x00424ce4
0x00424e81	c	3	r+b		0x0040e166	MainForm.boton_dialogo_texClick	0x004247f8
0x00424e85	c	2	\x20\x20		0x0040eafb	MainForm.parribaClick	0x00424c8b
0x00424e88	c	1	\x20		0x0040eb09	MainForm.parribaClick	0x00424758
0x00424e8a	c	1	\x20		0x0040ebf2	MainForm.parribaClick	0x00424758
0x00424e8c	c	34	Selecione um jogador para mover!!!		0x0040ecf3	MainForm.pabajoClick	
0x00424eaf	c	51	That file name is already being used by Team Editor		0x0040ef3c	MainForm.grabar_camisetaClick	
0x00424ee3	c	2	wb		0x0040ef8f	MainForm.grabar_camisetaClick	
0x00424ee7	c	24	O uni foi salvo!!!.\x20\x20\x20\x20\x20	enchimento	0x0040f0e8	MainForm.grabar_camisetaClick	
0x00424f00	c	6	dorsal		0x0040f5a6		0x00424c74
0x00424f07	c	51	That file name is already being used by Team Editor		0x0040f76b	MainForm.grabar_memoryClick	0x00424eaf
0x00424f3b	c	2	wb		0x0040f7be	MainForm.grabar_memoryClick	0x00424ee3
0x00424f3f	c	23	A MCR foi salva!!!.\x20\x20\x20\x20	enchimento	0x0040f852	MainForm.grabar_memoryClick	
0x00424f57	c	17	mostrar_jugador_1		0x0040f8fc	MainForm.mostrar_jugadorClick	
0x00424f69	c	1	)		0x0040fae3	MainForm.mostrar_jugadorClick	
0x00424f6b	c	14	player number\x20		0x0040fc41	MainForm.mostrar_jugadorClick	
0x00424f7a	c	9	\x20of team\x20		0x0040fc4f	MainForm.mostrar_jugadorClick	
0x00424f84	c	49	\x20You need at least 1 memory block free to do that	gemea_difere	0x0040fda8	MainForm.mostrar_jugadorClick	
0x00424fb6	c	72	\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20		0x0040fe52	MainForm.mostrar_jugadorClick	
0x00424fff	c	1	\x20		0x0040fea7	MainForm.mostrar_jugadorClick	0x00424758
0x00425001	c	20	mostrar_estrategia_1		0x00410247	MainForm.mostrar_estrategiaClick	
0x00425016	c	45	\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20\x20		0x0041062f	MainForm.mostrar_estrategiaClick	
0x00425044	c	1	\x20		0x00410684	MainForm.mostrar_estrategiaClick	0x00424758
0x00425046	c	6	\\image				
0x0042504d	c	6	\\barba				
0x00425054	c	5	\\pelo				
0x0042505a	c	9	\\banderas				
0x00425064	c	12	\\uniformes2d				
0x00425071	c	5	\\data				
0x00425077	c	1	\x20		0x00410cef	MainForm.dorsalClick	0x00424758
0x00425079	c	42	Precos dos jogadores calculados!!!!!!!!!!!		0x00411189	MainForm.base_teamClick	
0x004250a4	c	10	OBOCARULEZ		0x00411205	MainForm.FormShow	0x00424c98
0x004250b0	c	8	\\dat.bin		0x00411319	MainForm.FormShow	0x00424ca4
0x004250b9	c	2	rb		0x00411314	MainForm.FormShow	0x00424cad
0x004250bd	c	50	The file "dat.bin" must be in the "data" directory		0x0041139d	MainForm.FormShow	
0x004250f0	c	1	\\		0x00411438	MainForm.FormShow	0x00424ce4
0x004250f2	c	3	r+b		0x0041148d	MainForm.FormShow	0x004247f8
0x004250f6	c	9	$00ffb676		0x00411720	MainForm.FormShow	
0x00425100	c	9	$00ffb676		0x00411759	MainForm.FormShow	0x004250f6
0x0042510a	c	9	$00ffb676		0x00411793	MainForm.FormShow	0x004250f6
0x00427f0e	c	16	grupo_memorycard				
0x0042835f	c	8	dorsal14				
0x00428699	c	7	Image4%				
0x00428d72	c	8	etiqjug0				
0x00429127	c	8	etiqpos8				
0x00429515	c	7	BitBtn1				
0x004296ce	c	8	etiqhab2				
0x00429ac1	c	9	valorapa8				
0x0042a059	c	6	color1				
0x0042a9fb	c	6	Label3				
0x0042aef3	c	11	ActionList1				
0x0042b261	c	7	BitBtn1				0x00429515
0x0042b411	c	5	etiq4				
0x0042b71a	c	53	ABCDEFGHIJKLMNOPQRSTUVWXYZ abcdefghijklmnopqrstuvwxyz				0x0042316a
0x0042b834	c	34	).:;<=>$b@AB?CDTKEPQFGHI?cLMNOdefg				0x00423284
0x0042c2d5	c	4	""++				0x00423d25
0x0042c2eb	c	4	"+++				0x00423d3b
0x0042c317	c	4	""++				0x00423d25
0x0042c333	c	4	K4&B				0x00423d83
0x0042c349	c	4	K(@4				0x00423d99
0x0042c35f	c	4	K4&B				0x00423d83
0x0042c367	c	7	U+="F&B				0x00423db7
0x0042c372	c	7	U4(@4 H				0x00423dc2
0x0042c37d	c	7	U+=44 H				0x00423dcd
0x0042c38a	c	5	M4(@4				0x00423dda
0x0042c396	c	4	M(@4				0x00423de6
0x0042c3a0	c	5	M(@&B				0x00423df0
0x0042c3ac	c	4	M4&B				0x00423dfc
0x0042c3b6	c	5	M44 H				0x00423e06
0x0042c3bc	c	10	\x204H+="F4 H				0x00423e0c
0x0042c3d6	c	6	W+="F4				0x00423e26
0x0042c3e1	c	6	W4(@&B				0x00423e31
0x0042c3ec	c	6	W+=4&B				0x00423e3c
0x0042ccff	c	37	It's the same player in both teams...				0x00424767
0x0042cd25	c	48	You need at least 1 memory block free to do that				0x0042478d
0x0042cd56	c	11	in another\x20				0x004247be
0x0042cd62	c	31	\x20different place(s) in the game				0x004247ca
0x0042cd82	c	8	\\bandera				0x004247ea
0x0042cd8b	c	4	.bmp				0x004247f3
0x0042cd95	c	8	\\bandera				0x004247ea
0x0042cd9e	c	4	.bmp				0x004247f3
0x0042cda8	c	9	\\camiseta				0x00424810
0x0042cdb2	c	4	.bmp				0x004247f3
0x0042cdbc	c	9	\\pantalon				0x00424824
0x0042cdc6	c	4	.bmp				0x004247f3
0x0042cdd0	c	5	color				0x00424838
0x0042cdd6	c	5	color				0x00424838
0x0042cddc	c	9	lista_col				0x00424844
0x0042cde6	c	9	lista_col				0x00424844
0x0042cdf0	c	9	lista_col				0x00424844
0x0042cdfa	c	6	colcop				0x00424862
0x0042ce01	c	5	color				0x00424838
0x0042ce07	c	5	color				0x00424838
0x0042ceb5	c	5	RIGHT				
0x0042cebb	c	4	LEFT				
0x0042cec0	c	4	BOTH				
0x0042cf42	c	16	\\careto_base.bmp				0x004249aa
0x0042cf59	c	6	\\pelo_				0x004249c1
0x0042cf60	c	4	.bmp				0x004247f3
0x0042cf6b	c	7	\\barba_				0x004249d3
0x0042cf73	c	4	.bmp				0x004247f3
0x0042cf7e	c	7	barrhab				0x004249e6
0x0042cf86	c	8	valorhab				0x004249ee
0x0042cf8f	c	6	imghab				0x004249f7
0x0042cf96	c	10	flechasapa				0x004249fe
0x0042cfa1	c	8	valorapa				0x00424a09
0x0042cfae	c	8	valorhab				0x004249ee
0x0042cfb7	c	6	imghab				0x004249f7
0x0042cfbe	c	8	valorhab				0x004249ee
0x0042cfc7	c	6	imghab				0x004249f7
0x0042cfce	c	8	valorhab				0x004249ee
0x0042cfd7	c	7	etiqhab				0x00424a3f
0x0042cfdf	c	7	etiqapa				0x00424a47
0x0042cfe7	c	8	valorapa				0x00424a09
0x0042cff0	c	8	valorhab				0x004249ee
0x0042cff9	c	7	etiqhab				0x00424a3f
0x0042d001	c	7	etiqapa				0x00424a47
0x0042d009	c	8	valorapa				0x00424a09
0x0042d018	c	8	valorapa				0x00424a09
0x0042d02b	c	44	Preco invalido                   (1 ... 250)	buraco			
0x0042d058	c	63	Numero da camisa          r ([33 ... 99] somente na Master    )	buraco			
0x0042d098	c	7	barrhab				0x004249e6
0x0042d0a0	c	10	flechasapa				0x004249fe
0x0042d0ab	c	7	barrhab				0x004249e6
0x0042d0f6	c	7	etiqjug				0x00424b5e
0x0042d0fe	c	8	etiqestr				0x00424b66
0x0042d107	c	7	jugador				0x00424b6f
0x0042d10f	c	7	etiqpos				0x00424b77
0x0042d117	c	8	etiqestr				0x00424b66
0x0042d120	c	7	jugador				0x00424b6f
0x0042d128	c	7	etiqpos				0x00424b77
0x0042d130	c	4	bola				0x00424b98
0x0042d135	c	7	etiqpos				0x00424b77
0x0042d13d	c	4	bola				0x00424b98
0x0042d142	c	7	etiqjug				0x00424b5e
0x0042d14a	c	4	bola				0x00424b98
0x0042d14f	c	7	etiqjug				0x00424b5e
0x0042d157	c	7	simbolo				0x00424bbf
0x0042d15f	c	7	tirador				0x00424bc7
0x0042d167	c	7	etiqjug				0x00424b5e
0x0042d16f	c	7	jugador				0x00424b6f
0x0042d177	c	7	etiqjug				0x00424b5e
0x0042d17f	c	7	jugador				0x00424b6f
0x0042d187	c	7	tirador				0x00424bc7
0x0042d18f	c	54	You should use different Home && Away radar colours...				0x00424bf7
0x0042d1c6	c	4	bola				0x00424b98
0x0042d1cb	c	4	bola				0x00424b98
0x0042d1d0	c	7	tirador				0x00424bc7
0x0042d1d8	c	7	simbolo				0x00424bbf
0x0042d1e0	c	5	Branc				0x00424c48
0x0042d1e6	c	5	Preto				0x00424c4e
0x0042d1ec	c	5	Verde				0x00424c54
0x0042d1f2	c	6	Amarel				0x00424c5a
0x0042d1fd	c	4	Azul				0x00424c65
0x0042d202	c	4	Turq				0x00424c6a
0x0042d207	c	4	Rosa				0x00424c6f
0x0042d20e	c	53	ABCDEFGHIJKLMNOPQRSTUVWXYZ abcdefghijklmnopqrstuvwxyz				0x0042316a
0x0042d328	c	34	).:;<=>$b@AB?CDTKEPQFGHI?cLMNOdefg				0x00423284
0x0042e2e7	c	37	It's the same player in both teams...				0x00424767
0x0042e30d	c	48	You need at least 1 memory block free to do that				0x0042478d
0x0042e33e	c	11	in another\x20				0x004247be
0x0042e34a	c	31	\x20different place(s) in the game				0x004247ca
0x0042e36a	c	8	\\bandera				0x004247ea
0x0042e373	c	4	.bmp				0x004247f3
0x0042e37d	c	8	\\bandera				0x004247ea
0x0042e386	c	4	.bmp				0x004247f3
0x0042e390	c	9	\\camiseta				0x00424810
0x0042e39a	c	4	.bmp				0x004247f3
0x0042e3a4	c	9	\\pantalon				0x00424824
0x0042e3ae	c	4	.bmp				0x004247f3
0x0042e3b8	c	5	color				0x00424838
0x0042e3be	c	5	color				0x00424838
0x0042e3c4	c	9	lista_col				0x00424844
0x0042e3ce	c	9	lista_col				0x00424844
0x0042e3d8	c	9	lista_col				0x00424844
0x0042e3e2	c	6	colcop				0x00424862
0x0042e3e9	c	5	color				0x00424838
0x0042e3ef	c	5	color				0x00424838
0x0042e49d	c	5	RIGHT				0x0042ceb5
0x0042e4a3	c	4	LEFT				0x0042cebb
0x0042e4a8	c	4	BOTH				0x0042cec0
0x0042e52a	c	16	\\careto_base.bmp				0x004249aa
0x0042e541	c	6	\\pelo_				0x004249c1
0x0042e548	c	4	.bmp				0x004247f3
0x0042e553	c	7	\\barba_				0x004249d3
0x0042e55b	c	4	.bmp				0x004247f3
0x0042e566	c	7	barrhab				0x004249e6
0x0042e56e	c	8	valorhab				0x004249ee
0x0042e577	c	6	imghab				0x004249f7
0x0042e57e	c	10	flechasapa				0x004249fe
0x0042e589	c	8	valorapa				0x00424a09
0x0042e596	c	8	valorhab				0x004249ee
0x0042e59f	c	6	imghab				0x004249f7
0x0042e5a6	c	8	valorhab				0x004249ee
0x0042e5af	c	6	imghab				0x004249f7
0x0042e5b6	c	8	valorhab				0x004249ee
0x0042e5bf	c	7	etiqhab				0x00424a3f
0x0042e5c7	c	7	etiqapa				0x00424a47
0x0042e5cf	c	8	valorapa				0x00424a09
0x0042e5d8	c	8	valorhab				0x004249ee
0x0042e5e1	c	7	etiqhab				0x00424a3f
0x0042e5e9	c	7	etiqapa				0x00424a47
0x0042e5f1	c	8	valorapa				0x00424a09
0x0042e600	c	8	valorapa				0x00424a09
0x0042e613	c	44	Insert a valid number of credits (1 ... 250)				0x00424a93
0x0042e640	c	63	Insert a valid shirt number ([33 ... 99] only for Master teams)				
0x0042e680	c	7	barrhab				0x004249e6
0x0042e688	c	10	flechasapa				0x004249fe
0x0042e693	c	7	barrhab				0x004249e6
0x0042e69e	c	53	ABCDEFGHIJKLMNOPQRSTUVWXYZ abcdefghijklmnopqrstuvwxyz				0x0042316a
0x0042e7b8	c	34	).:;<=>$b@AB?CDTKEPQFGHI?cLMNOdefg				0x00423284
0x0042ec1b	c	37	It's the same player in both teams...				0x00424767
0x0042ec41	c	48	You need at least 1 memory block free to do that				0x0042478d
0x0042ec72	c	11	in another\x20				0x004247be
0x0042ec7e	c	31	\x20different place(s) in the game				0x004247ca
0x0042ec9e	c	8	\\bandera				0x004247ea
0x0042eca7	c	4	.bmp				0x004247f3
0x0042ecb1	c	8	\\bandera				0x004247ea
0x0042ecba	c	4	.bmp				0x004247f3
0x0042ecc4	c	9	\\camiseta				0x00424810
0x0042ecce	c	4	.bmp				0x004247f3
0x0042ecd8	c	9	\\pantalon				0x00424824
0x0042ece2	c	4	.bmp				0x004247f3
0x0042ecec	c	5	color				0x00424838
0x0042ecf2	c	5	color				0x00424838
0x0042ecf8	c	9	lista_col				0x00424844
0x0042ed02	c	9	lista_col				0x00424844
0x0042ed0c	c	9	lista_col				0x00424844
0x0042ed16	c	6	colcop				0x00424862
0x0042ed1d	c	5	color				0x00424838
0x0042ed23	c	5	color				0x00424838
0x0042ee44	c	31	Illegal mode in _vector_delete_		0x004148eb		
0x0042ee98	c	28	Illegal mode in _vector_new_		0x00414a67		
0x0042eeb5	c	32	Illegal dtorMode in _vector_new_		0x00414af6		
0x0042eed8	c	8	borlndmm		0x00414b49		
0x0042eee1	c	47	hrdir_b.c: LoadLibrary != mmdll borlndmm failed		0x00414b5b		
0x0042ef11	c	8	borlndmm		0x00414b87		0x0042eed8
0x0042ef1a	c	24	@Borlndmm@SysGetMem$qqri		0x00414b9b		
0x0042ef33	c	26	@Borlndmm@SysFreeMem$qqrpv		0x00414ba8		
0x0042ef4e	c	30	@Borlndmm@SysReallocMem$qqrpvi		0x00414bb5		
0x0042ef6d	c	8	borlndmm		0x00414bec		0x0042eed8
0x0042ef76	c	25	@Borlndmm@HeapAddRef$qqrv		0x00414c23		
0x0042ef90	c	26	@Borlndmm@HeapRelease$qqrv		0x00414c39		
0x0042efab	c	63	hrdir_b.c: GetMem or FreeMem or ReallocMem from borlndmm failed		0x00414ca7		
0x0042efeb	c	76	hrdir_b.c: FATAL!!! memory has been allocated prior to heap redirector hook!		0x00414cbe		
0x0042f12c	c	25	no named exception thrown				
0x0042f146	c	20	bad exception thrown				
0x0042f15b	c	26	bad alloc exception thrown				
0x0042f176	c	5	Error				
0x0042f17c	c	8	rwstderr				
0x0042f1b8	c	8	<notype>		0x00415c94		
0x0042f1c1	c	10	id->tpName		0x00415caa		
0x0042f1cc	c	10	xxtype.cpp		0x00415ca5		
0x0042f1d7	c	3	tp1		0x00415cdb		
0x0042f1db	c	10	xxtype.cpp		0x00415cd6		0x0042f1cc
