formacao	nome	jogador	papel	abreviatura	x	y	zona	destino_x	destino_y
9	3 - 6 - 1  B	5	11	Vl	18	61	4	142	138
9	3 - 6 - 1  B	6	12	Ae	26	27	5	206	53
9	3 - 6 - 1  B	7	13	Ad	26	77	6	206	178
9	3 - 6 - 1  B	8	14	Me	34	40	7	270	83
9	3 - 6 - 1  B	9	16	Me	34	64	7	270	143
9	3 - 6 - 1  B	10	18	At	43	52	8	342	113
10	3 - 5 - 2  A	0	0	--	0	0	0	-2	-12
10	3 - 5 - 2  A	1	2	Za	9	32	1	70	63
10	3 - 5 - 2  A	2	3	Za	9	52	1	70	113
10	3 - 5 - 2  A	3	6	Za	9	72	1	70	163
10	3 - 5 - 2  A	4	10	Vl	18	52	4	142	113
10	3 - 5 - 2  A	5	12	Ae	26	27	5	206	53
10	3 - 5 - 2  A	6	13	Ad	26	77	6	206	178
10	3 - 5 - 2  A	7	14	Me	34	40	7	270	83
10	3 - 5 - 2  A	8	16	Me	34	64	7	270	143
10	3 - 5 - 2  A	9	17	At	43	38	8	342	78
10	3 - 5 - 2  A	10	19	At	43	66	8	342	148
11	3 - 5 - 2  B	0	0	--	0	0	0	-2	-12
11	3 - 5 - 2  B	1	2	Za	9	32	1	70	63
11	3 - 5 - 2  B	2	3	Za	9	52	1	70	113
11	3 - 5 - 2  B	3	6	Za	9	72	1	70	163
11	3 - 5 - 2  B	4	9	Vl	18	43	4	142	93
11	3 - 5 - 2  B	5	11	Vl	18	61	4	142	138
11	3 - 5 - 2  B	6	12	Ae	26	27	5	206	53
11	3 - 5 - 2  B	7	13	Ad	26	77	6	206	178
11	3 - 5 - 2  B	8	15	Me	34	52	7	270	113
11	3 - 5 - 2  B	9	17	At	43	38	8	342	78
11	3 - 5 - 2  B	10	19	At	43	66	8	342	148
12	3 - 4 - 3  A	0	0	--	0	0	0	-2	-12
12	3 - 4 - 3  A	1	2	Za	9	32	1	70	63
12	3 - 4 - 3  A	2	3	Za	9	52	1	70	113
12	3 - 4 - 3  A	3	6	Za	9	72	1	70	163
12	3 - 4 - 3  A	4	10	Vl	18	52	4	142	113
12	3 - 4 - 3  A	5	12	Ae	26	27	5	206	53
12	3 - 4 - 3  A	6	13	Ad	26	77	6	206	178
12	3 - 4 - 3  A	7	15	Me	34	52	7	270	113
12	3 - 4 - 3  A	8	18	At	43	52	8	342	113
12	3 - 4 - 3  A	9	20	Pe	43	32	9	342	63
12	3 - 4 - 3  A	10	21	Pd	43	72	10	342	163
13	3 - 4 - 3  B	0	0	--	0	0	0	-2	-12
13	3 - 4 - 3  B	1	2	Za	9	32	1	70	63
13	3 - 4 - 3  B	2	3	Za	9	52	1	70	113
13	3 - 4 - 3  B	3	6	Za	9	72	1	70	163
13	3 - 4 - 3  B	4	9	Vl	18	43	4	142	93
13	3 - 4 - 3  B	5	11	Vl	18	61	4	142	138
13	3 - 4 - 3  B	6	14	Me	30	34	7	238	68
13	3 - 4 - 3  B	7	16	Me	30	70	7	238	158
13	3 - 4 - 3  B	8	18	At	43	52	8	342	113
13	3 - 4 - 3  B	9	20	Pe	43	32	9	342	63
13	3 - 4 - 3  B	10	21	Pd	43	72	10	342	163
14	5 - 4 - 1  A	0	0	--	0	0	0	-2	-12
14	5 - 4 - 1  A	1	2	Za	9	32	1	70	63
14	5 - 4 - 1  A	2	3	Za	9	52	1	70	113
14	5 - 4 - 1  A	3	6	Za	9	72	1	70	163
14	5 - 4 - 1  A	4	7	Le	12	17	2	94	28
14	5 - 4 - 1  A	5	8	Ld	12	87	3	94	203
14	5 - 4 - 1  A	6	10	Vl	18	52	4	142	113
14	5 - 4 - 1  A	7	12	Ae	26	29	5	206	58
14	5 - 4 - 1  A	8	13	Ad	26	75	6	206	173
14	5 - 4 - 1  A	9	15	Me	34	52	7	270	113
14	5 - 4 - 1  A	10	18	At	43	52	8	342	113
15	5 - 4 - 1  B	0	0	--	0	0	0	-2	-12
15	5 - 4 - 1  B	1	2	Za	9	32	1	70	63
15	5 - 4 - 1  B	2	3	Za	9	52	1	70	113
15	5 - 4 - 1  B	3	6	Za	9	72	1	70	163
15	5 - 4 - 1  B	4	7	Le	12	17	2	94	28
15	5 - 4 - 1  B	5	8	Ld	12	87	3	94	203
15	5 - 4 - 1  B	6	9	Vl	18	43	4	142	93
15	5 - 4 - 1  B	7	11	Vl	18	61	4	142	138
15	5 - 4 - 1  B	8	14	Me	30	34	7	238	68
15	5 - 4 - 1  B	9	16	Me	30	70	7	238	158
15	5 - 4 - 1  B	10	18	At	43	52	8	342	113
16	5 - 3 - 2  A	0	0	--	0	0	0	-2	-12
16	5 - 3 - 2  A	1	2	Za	9	32	1	70	63
16	5 - 3 - 2  A	2	3	Za	9	52	1	70	113
16	5 - 3 - 2  A	3	6	Za	9	72	1	70	163
16	5 - 3 - 2  A	4	7	Le	12	17	2	94	28
16	5 - 3 - 2  A	5	8	Ld	12	87	3	94	203
16	5 - 3 - 2  A	6	10	Vl	18	52	4	142	113
16	5 - 3 - 2  A	7	14	Me	34	40	7	270	83
16	5 - 3 - 2  A	8	16	Me	34	64	7	270	143
16	5 - 3 - 2  A	9	17	At	43	38	8	342	78
16	5 - 3 - 2  A	10	19	At	43	66	8	342	148
17	5 - 3 - 2  B	0	0	--	0	0	0	-2	-12
17	5 - 3 - 2  B	1	2	Za	9	32	1	70	63
17	5 - 3 - 2  B	2	3	Za	9	52	1	70	113
17	5 - 3 - 2  B	3	6	Za	9	72	1	70	163
17	5 - 3 - 2  B	4	7	Le	12	17	2	94	28
17	5 - 3 - 2  B	5	8	Ld	12	87	3	94	203
17	5 - 3 - 2  B	6	9	Vl	18	43	4	142	93
17	5 - 3 - 2  B	7	11	Vl	18	61	4	142	138
17	5 - 3 - 2  B	8	15	Me	34	52	7	270	113
17	5 - 3 - 2  B	9	17	At	43	38	8	342	78
17	5 - 3 - 2  B	10	19	At	43	66	8	342	148
