rom	time	slot	soma	posicao	previsto	medido
japanese-shift-jis	2	19	57	6	24	24
japanese-shift-jis	2	20	59	6	26	26
japanese-shift-jis	2	21	38	0	21	21
japanese-shift-jis	2	22	36	0	20	-
japanese-shift-jis	30	0	36	0	20	20
japanese-shift-jis	30	1	46	1	17	17
japanese-shift-jis	30	2	53	3	21	21
japanese-shift-jis	30	3	55	2	23	23
japanese-shift-jis	30	4	53	2	21	21
japanese-shift-jis	30	5	54	1	21	21
japanese-shift-jis	30	6	47	3	17	17
japanese-shift-jis	30	7	76	5	44	44
japanese-shift-jis	30	8	65	5	31	31
japanese-shift-jis	30	9	72	6	39	39
japanese-shift-jis	30	10	63	6	30	30
japanese-shift-jis	30	11	52	1	20	20
japanese-shift-jis	30	12	50	1	20	20
japanese-shift-jis	30	13	55	2	23	23
japanese-shift-jis	30	14	55	2	23	23
japanese-shift-jis	30	15	60	3	27	27
japanese-shift-jis	30	16	54	3	21	21
japanese-shift-jis	30	17	60	4	27	27
japanese-shift-jis	30	18	56	5	24	24
japanese-shift-jis	30	19	60	6	27	27
japanese-shift-jis	30	20	64	6	30	30
japanese-shift-jis	30	21	41	0	21	21
japanese-shift-jis	30	22	36	0	20	-
japanese-shift-jis	48	0	59	0	43	43
japanese-shift-jis	48	1	59	1	26	26
japanese-shift-jis	48	2	59	1	26	26
japanese-shift-jis	48	3	59	1	26	26
japanese-shift-jis	48	4	59	2	26	26
japanese-shift-jis	48	5	59	3	26	26
japanese-shift-jis	48	6	59	3	26	26
japanese-shift-jis	48	7	59	5	26	26
japanese-shift-jis	48	8	59	5	26	26
japanese-shift-jis	48	9	59	6	26	26
japanese-shift-jis	48	10	59	6	26	26
japanese-shift-jis	48	11	59	1	26	26
japanese-shift-jis	48	12	59	1	26	26
japanese-shift-jis	48	13	59	3	26	26
japanese-shift-jis	48	14	59	3	26	26
japanese-shift-jis	48	15	59	5	26	26
japanese-shift-jis	48	16	59	5	26	26
japanese-shift-jis	48	17	59	5	26	26
japanese-shift-jis	48	18	59	6	26	26
japanese-shift-jis	48	19	59	6	26	26
japanese-shift-jis	48	20	59	6	26	26
japanese-shift-jis	48	21	59	0	43	43
japanese-shift-jis	48	22	59	0	43	-
japanese-shift-jis	9	0	41	0	21	21
japanese-shift-jis	9	1	44	1	16	16
japanese-shift-jis	9	2	48	1	17	17
japanese-shift-jis	9	3	44	1	16	16
japanese-shift-jis	9	4	60	3	27	27
japanese-shift-jis	9	5	62	3	27	27
japanese-shift-jis	9	6	62	7	27	27
japanese-shift-jis	9	7	69	6	35	35
japanese-shift-jis	9	8	68	5	34	34
japanese-shift-jis	9	9	60	6	27	27
japanese-shift-jis	9	10	62	6	27	27
japanese-shift-jis	9	11	48	1	17	17
japanese-shift-jis	9	12	50	2	20	20
japanese-shift-jis	9	13	52	2	20	20
japanese-shift-jis	9	14	52	3	20	20
japanese-shift-jis	9	15	48	3	17	17
japanese-shift-jis	9	16	50	3	20	20
japanese-shift-jis	9	17	53	4	21	21
japanese-shift-jis	9	18	71	6	38	38
japanese-shift-jis	9	19	60	6	27	27
japanese-shift-jis	9	20	56	6	24	24
japanese-shift-jis	9	21	36	0	20	20
japanese-shift-jis	9	22	36	0	20	-
