endereco	nivel	bytes	chamado_por	chama	papel
0x004184a8	2	84	0x00417170,0x00417770,0x00417810,0x00417910,0x00418f70,0x00418f98		
0x004184fc	2	26	0x00417170		
0x00418f70	1	37	MainForm.boton_dialogo_weClick,MainForm.lista_equiposChange,MainForm.FormShow,0x004033bc,0x00403f00,0x004042d4,0x0040b2d8,0x0040b9ec	0x004183e0,0x00417e88,0x004184a8	`fgetc` da RTL
0x00418f98	1	43	MainForm.boton_dialogo_weClick,MainForm.FormShow,0x00405270,0x00405468,0x004056c8	0x004183e0,0x00417f70,0x004184a8	
0x0041978c	1	35	MainForm.mostrar_jugadorClick,0x00404820,0x00405270,0x00405468,0x004056c8,0x004097d4,0x0040b2d8,0x0040bb84		
0x0041be40	2	106	0x0041beac		
0x0041beac	1	21	MainForm.boton_dialogo_weClick	0x0041be40	
0x0042120c	1	?	estrategia.ComboBoxDrawItem,MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick,MainForm.FormCreate,MainForm.FormShow,0x00404820,0x00405270,0x00405468,0x004056c8,0x0040756c,0x0040b2d8,0x0040bb84		
0x004212dc	2	?	0x0040b2d8		
0x00421328	1	?	MainForm.boton_dialogo_weClick,MainForm.mostrar_jugadorClick,MainForm.FormShow		
0x00421370	1	?	jugador.FormCreate,estrategia.FormCreate,MainForm.lista_equiposChange,0x0040756c,0x004099bc,0x0040a0b4,0x0040b0b4,0x0040b188,0x0040b2d8		
0x004213b4	1	47	jugador.FormCreate,estrategia.FormCreate,MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.lista_equiposChange,MainForm.boton_dialogo_texClick,MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick,MainForm.FormCreate,MainForm.FormShow,0x00404820,0x00405270,0x00405468,0x004056c8,0x0040756c,0x004097d4,0x004099bc,0x0040a0b4,0x0040b0b4,0x0040b188,0x0040b2d8,0x0040bb84,0x0040cbc8	0x00414570	
0x004213e4	1	20	MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick,MainForm.FormCreate,MainForm.FormShow,0x004056c8,0x0040b2d8,0x0040bb84		
0x004213f8	1	?	MainForm.boton_dialogo_weClick,MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick,MainForm.FormCreate,MainForm.FormShow,0x00404820,0x00405270,0x00405468,0x004056c8,0x0040b2d8,0x0040bb84		
0x00421484	1	22	MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick		
0x00421580	1	40	MainForm.mostrar_jugadorClick,0x0040b2d8,0x0040bb84		
0x004215a8	1	38	MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.FormShow		
0x004215f0	1	?	MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick		
0x00421678	1	?	MainForm.boton_dialogo_weClick,MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick,MainForm.FormShow,0x0040a0b4		
0x004217ac	1	?	MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.FormShow		
0x00421820	1	?	MainForm.boton_dialogo_weClick,MainForm.FormShow		
0x00421870	1	?	jugador.FormCreate,estrategia.FormCreate,MainForm.lista_equiposChange,MainForm.mostrar_jugadorClick,0x00404820,0x0040756c,0x004097d4,0x004099bc,0x0040a0b4,0x0040b0b4,0x0040b188		
